school_code;school_name;la_code;local_authority;sector;governance;postcode;pupils;geom
6662156;YSGOL GOLWG PEN Y FAN;666;Powys;Primary;Community;LD3 7LU;300;POINT (304563.7 228822.5)
6672374;YSGOL DYFFRYN AERON;667;Ceredigion;Primary;Community;SA48 8AE;180;POINT (253053.51 255644.72)
6682398;Ysgol Bro Penfro;668;Pembrokeshire;Primary;Community;SA71 4RJ;149;POINT (197756.34 202302.68)
6712242;YGG Tregeles;671;Neath Port Talbot;Primary;Community;SA10 7ND;43;POINT (273223 197452)
6735501;COWBRIDGE SCHOOL;673;The Vale of Glamorgan;Middle;Community;CF71 7EN;1559;POINT (300230 174801)
6742388;Ysgol Gynradd Gymraeg Awel Taf;674;Rhondda Cynon Taf;Primary;Community;CF37 5DB;346;POINT (309324.13 188320.88)
6745505;Ysgol Afon Wen;674;Rhondda Cynon Taf;Middle;Community;CF37 5AL;1165;POINT (309553 187414)
6745506;Ysgol Bro Taf;674;Rhondda Cynon Taf;Middle;Community;CF37 4SF;902;POINT (308585 192574)
6792325;Ysgol Gymraeg Trefynwy;679;Monmouthshire;Primary;Community;NP25 5BA;21;POINT (349990 212661)
6795500;King Henry VIII 319;679;Monmouthshire;Middle;Community;NP7 6EP;1310;POINT (329956.9 215272.69)
6812333;Ysgol Gynradd Groes Wen;681;Cardiff;Primary;Community;CF5 2FG;124;POINT (313086.49 179044.65)
6607011;Canolfan Addysg y Bont;660;Isle of Anglesey;Special;Not Applicable;LL77 7PG;123;POINT (245233.92 375872.98)
6617002;Ysgol Pendalar;661;Gwynedd;Special;Not Applicable;LL55 1DU;115;POINT (249055 363715)
6617010;Ysgol Hafod Lon;661;Gwynedd;Special;Not Applicable;LL48 6LD;116;POINT (260271.49 338335.12)
6627007;Ysgol Y Gogarth;662;Conwy;Special;Not Applicable;LL30 1YE;272;POINT (279980.08 381930.05)
6637000;YSGOL TIR MORFA;663;Denbighshire;Special;Not Applicable;LL18 2RN;114;POINT (301535 380260)
