geo_id,council_name,year,variable,value
S12000039,West Dunbartonshire,2016,Roads Needing Repairs,33.8
S12000039,West Dunbartonshire,2009,Roads Needing Repairs,32.5
S12000039,West Dunbartonshire,2021,Roads Needing Repairs,28.0
S12000039,West Dunbartonshire,2015,Roads Needing Repairs,35.4
S12000039,West Dunbartonshire,2008,Roads Needing Repairs,29.4
S12000039,West Dunbartonshire,2009,Traffic Congestion,7.76
S12000039,West Dunbartonshire,2020,Roads Needing Repairs,30.6
S12000039,West Dunbartonshire,2016,Vehicle Kilometres,667.0
S12000039,West Dunbartonshire,2014,Vehicle Kilometres,646.0
S12000039,West Dunbartonshire,2008,Vehicle Kilometres,623.0
S12000039,West Dunbartonshire,2014,Traffic Congestion,9.5
S12000039,West Dunbartonshire,2014,Roads Needing Repairs,25.4
S12000039,West Dunbartonshire,2021,Vehicle Kilometres,613.0
S12000039,West Dunbartonshire,2015,Vehicle Kilometres,655.0
S12000039,West Dunbartonshire,2015,Traffic Congestion,12.1
S12000039,West Dunbartonshire,2021,Traffic Congestion,14.0
S12000039,West Dunbartonshire,2018,Traffic Congestion,16.0
S12000039,West Dunbartonshire,2019,Roads Needing Repairs,31.8
S12000039,West Dunbartonshire,2009,Vehicle Kilometres,640.0
S12000039,West Dunbartonshire,2019,Vehicle Kilometres,678.0
S12000039,West Dunbartonshire,2006,Roads Needing Repairs,45.0
S12000039,West Dunbartonshire,2018,Vehicle Kilometres,677.0
S12000039,West Dunbartonshire,2018,Roads Needing Repairs,33.6
S12000039,West Dunbartonshire,2006,Vehicle Kilometres,628.0
S12000039,West Dunbartonshire,2005,Traffic Congestion,16.3
S12000039,West Dunbartonshire,2017,Vehicle Kilometres,664.0
S12000039,West Dunbartonshire,2020,Vehicle Kilometres,534.0
S12000039,West Dunbartonshire,2016,Traffic Congestion,12.4
S12000039,West Dunbartonshire,2017,Roads Needing Repairs,31.9
S12000039,West Dunbartonshire,2019,Traffic Congestion,18.0
S12000039,West Dunbartonshire,2017,Traffic Congestion,14.0
S12000039,West Dunbartonshire,2023,Roads Needing Repairs,28.0
S12000039,West Dunbartonshire,2007,Vehicle Kilometres,622.0
S12000039,West Dunbartonshire,2011,Roads Needing Repairs,34.2
S12000039,West Dunbartonshire,2012,Vehicle Kilometres,630.0
S12000039,West Dunbartonshire,2013,Vehicle Kilometres,628.0
S12000039,West Dunbartonshire,2013,Roads Needing Repairs,25.4
S12000039,West Dunbartonshire,2013,Traffic Congestion,12.6
S12000039,West Dunbartonshire,2012,Roads Needing Repairs,34.0
S12000039,West Dunbartonshire,2011,Vehicle Kilometres,627.0
S12000039,West Dunbartonshire,2012,Traffic Congestion,11.7
S12000039,West Dunbartonshire,2003,Traffic Congestion,12.5
S12000039,West Dunbartonshire,2023,Vehicle Kilometres,672.0
S12000039,West Dunbartonshire,2023,Traffic Congestion,13.0
S12000039,West Dunbartonshire,2022,Roads Needing Repairs,27.0
S12000039,West Dunbartonshire,2007,Traffic Congestion,15.2
S12000039,West Dunbartonshire,2007,Roads Needing Repairs,32.0
S12000039,West Dunbartonshire,2022,Vehicle Kilometres,663.0
S12000039,West Dunbartonshire,2010,Vehicle Kilometres,624.0
S12000039,West Dunbartonshire,2022,Traffic Congestion,9.0
S12000040,West Lothian,2012,Traffic Congestion,8.2
S12000040,West Lothian,2017,Roads Needing Repairs,29.4
S12000040,West Lothian,2014,Vehicle Kilometres,1757.0
S12000040,West Lothian,2009,Vehicle Kilometres,1714.0
S12000040,West Lothian,2012,Vehicle Kilometres,1699.0
S12000040,West Lothian,2011,Vehicle Kilometres,1699.0
S12000040,West Lothian,2018,Vehicle Kilometres,1926.0
S12000040,West Lothian,2014,Traffic Congestion,10.4
S12000040,West Lothian,2006,Vehicle Kilometres,1681.0
S12000040,West Lothian,2011,Roads Needing Repairs,30.5
S12000040,West Lothian,2012,Roads Needing Repairs,26.9
S12000040,West Lothian,2018,Traffic Congestion,19.0
S12000040,West Lothian,2014,Roads Needing Repairs,46.8
S12000040,West Lothian,2018,Roads Needing Repairs,29.9
S12000040,West Lothian,2007,Vehicle Kilometres,1709.0
S12000040,West Lothian,2013,Roads Needing Repairs,46.8
S12000040,West Lothian,2013,Vehicle Kilometres,1716.0
S12000040,West Lothian,2015,Vehicle Kilometres,1803.0
S12000040,West Lothian,2007,Roads Needing Repairs,27.0
S12000040,West Lothian,2015,Roads Needing Repairs,27.4
S12000040,West Lothian,2016,Roads Needing Repairs,29.4
S12000040,West Lothian,2007,Traffic Congestion,14.6
S12000040,West Lothian,2017,Vehicle Kilometres,1884.0
S12000040,West Lothian,2009,Roads Needing Repairs,32.3
S12000040,West Lothian,2010,Vehicle Kilometres,1699.0
S12000040,West Lothian,2017,Traffic Congestion,19.3
S12000040,West Lothian,2013,Traffic Congestion,12.0
S12000040,West Lothian,2016,Vehicle Kilometres,1835.0
S12000040,West Lothian,2016,Traffic Congestion,15.2
S12000040,West Lothian,2015,Traffic Congestion,16.3
S12000040,West Lothian,2008,Roads Needing Repairs,26.2
S12000040,West Lothian,2019,Vehicle Kilometres,1931.0
S12000040,West Lothian,2020,Vehicle Kilometres,1509.0
S12000040,West Lothian,2021,Vehicle Kilometres,1711.0
S12000040,West Lothian,2023,Roads Needing Repairs,31.0
S12000040,West Lothian,2019,Roads Needing Repairs,27.4
S12000040,West Lothian,2022,Vehicle Kilometres,1842.0
S12000040,West Lothian,2005,Traffic Congestion,10.8
S12000040,West Lothian,2022,Roads Needing Repairs,29.0
S12000040,West Lothian,2022,Traffic Congestion,10.0
S12000040,West Lothian,2019,Traffic Congestion,20.0
S12000040,West Lothian,2021,Traffic Congestion,15.0
S12000040,West Lothian,2006,Roads Needing Repairs,42.0
S12000040,West Lothian,2008,Vehicle Kilometres,1729.0
S12000040,West Lothian,2009,Traffic Congestion,8.4
