school_code,school_name,local_authority,sector,governance,pupils,longitude,latitude
6662156,YSGOL GOLWG PEN Y FAN,Powys,Primary,Community,300.0,-3.3900193005581216,51.949679380587355
6672374,YSGOL DYFFRYN AERON,Ceredigion,Primary,Community,180.0,-4.1505815959852255,52.1794277223234
6682398,Ysgol Bro Penfro,Pembrokeshire,Primary,Community,149.0,-4.926974126033064,51.68296980159972
6712242,YGG Tregeles,Neath Port Talbot,Primary,Community,43.0,-3.834324479860983,51.66150725508355
6735501,COWBRIDGE SCHOOL,The Vale of Glamorgan,Middle,Community,1559.0,-3.4375749821250072,51.46335761558045
6742388,Ysgol Gynradd Gymraeg Awel Taf,Rhondda Cynon Taf,Primary,Community,346.0,-3.310188411054393,51.586420773719816
6745505,Ysgol Afon Wen,Rhondda Cynon Taf,Middle,Community,1165.0,-3.3066519760633906,51.578305662819986
6745506,Ysgol Bro Taf,Rhondda Cynon Taf,Middle,Community,902.0,-3.3219639834434584,51.624532100290175
6792325,Ysgol Gymraeg Trefynwy,Monmouthshire,Primary,Community,21.0,-2.7267969316161045,51.81033425687628
6795500,King Henry VIII 319,Monmouthshire,Middle,Community,1310.0,-3.0178631420974873,51.83165694574453
6812333,Ysgol Gynradd Groes Wen,Cardiff,Primary,Community,124.0,-3.2536034518064465,51.50362819948168
6607011,Canolfan Addysg y Bont,Isle of Anglesey,Special,Not Applicable,123.0,-4.321524632472204,53.257225344832236
6617002,Ysgol Pendalar,Gwynedd,Special,Not Applicable,115.0,-4.258541331752886,53.14912551568864
6617010,Ysgol Hafod Lon,Gwynedd,Special,Not Applicable,116.0,-4.079940792025,52.92419634902285
6627007,Ysgol Y Gogarth,Conwy,Special,Not Applicable,272.0,-3.8032663224740535,53.32064725339
6637000,YSGOL TIR MORFA,Denbighshire,Special,Not Applicable,114.0,-3.479284172692751,53.31009277886888
6637010,Ysgol Plas Brondyffryn,Denbighshire,Special,Not Applicable,119.0,-3.4093981790164856,53.18511235301864
