Year;Arica y Parinacota;Tarapacá;Antofagasta;Atacama;Coquimbo;Valparaíso;Metropolitana;O'Higgins;Maule;Ñuble;Biobío;La Araucanía;Los Ríos;Los Lagos;Aysén;Magallanes;National
2010;3646;5637;10016;5069;11225;23788;101047;12723;14103;6004;22293;13367;5433;12413;1636;2243;250643
2011;3640;5753;9932;5116;11148;23568;100415;12189;13640;5926;21986;13295;5176;11911;1545;2118;247358
2012;3558;5721;9817;4855;11217;23619;99488;12119;13429;5732;20997;13024;5124;11287;1540;2108;243635
2013;3504;5766;9841;4849;11343;23127;99081;12113;13714;5590;20714;12877;4814;11191;1440;2041;242005
2014;3546;5835;10191;5014;11577;24125;103059;12412;14345;5899;21599;13313;5063;11380;1535;2104;250997
2015;3414;5712;9885;4466;11010;23598;101087;12050;14068;5766;21023;13324;4664;11158;1413;2032;244670
2016;3169;5419;9214;4230;10126;22165;96616;11416;13225;5453;19582;12534;4532;10787;1408;1873;231749
2017;3037;5081;8396;3929;9215;20357;92727;10887;12632;5333;18175;12005;4268;10046;1215;1883;219186
2018;2958;4955;8049;3730;9095;21002;95834;11248;13070;5324;17652;11772;4106;9921;1258;1757;221731
2019;2893;4878;7770;3425;8666;19619;89770;10756;12496;5065;17107;11302;4004;9574;1120;1743;210188
2020;2886;4709;7434;3247;8127;18427;81351;10245;11667;4885;16006;10441;3898;8958;1059;1638;194978
2021;2553;4396;6748;2920;7564;16822;73062;9258;10689;4481;14639;9860;3435;8370;982;1494;177273
2022;2916;5023;7484;3265;8019;17903;76129;10072;11837;4838;16115;10405;3780;8955;1023;1539;189303
2023;2752;4674;6993;3123;7487;16886;68870;9088;10783;4732;14790;9630;3623;8210;986;1440;174067
2024;2371;4246;6350;2845;6683;14761;60996;8289;9341;4124;13045;8653;3199;7481;803;1254;154441
