Year;15-19;20-24;25-29;30-34;35-39;40-44;45-49
1992;38483;76393;78859;54114;25171;5686;392
1993;38426;74775;76104;54699;25491;6019;402
1994;38848;74451;73530;54759;25880;5977;321
1995;38885;71651;69073;53608;26221;6187;307
1996;39701;69941;67582;53732;27247;6290;300
1997;40734;66326;65904;52485;27773;6411;326
1998;41530;63235;65389;51943;28131;6543;334
1999;40439;59293;64135;51086;28720;6700;301
2000;40312;57141;63812;50675;29471;7119;363
2001;39884;55892;61735;50651;30146;7420;388
2002;37618;55414;58775;49575;29450;7821;328
2003;34832;54536;56443;50557;29662;8087;369
2004;34428;53536;54145;50585;29113;8209;336
2005;36078;54032;53401;49906;28810;8234;370
2006;37773;54312;52387;49335;28767;8372;437
2007;39605;56174;56429;50151;29438;8324;403
2008;40927;57915;58338;50391;30234;8307;436
2009;40702;60361;60759;49955;31375;8581;444
2010;39010;59884;59623;50841;32300;8478;454
2011;37213;59378;58848;50671;32082;8653;486
2012;35184;58146;57491;52386;31475;8449;474
2013;32408;56898;58140;53625;31614;8814;460
2014;30306;57612;62810;57520;32888;9302;502
2015;26165;54261;63210;57373;33596;9545;504
2016;21170;48888;61734;56325;33565;9497;513
2017;17369;45057;59455;53929;33523;9095;556
2018;14641;44659;61397;56396;34942;8940;545
2019;11977;40194;58301;56105;34100;8837;540
2020;9760;35742;53546;54194;32579;8446;540
2021;7258;30379;47790;52051;30941;8219;457
2022;7355;31672;50641;56010;33720;9030;592
2023;6678;28745;45739;51083;32023;8873;644
2024;5685;24682;39826;45674;29806;7960;548
